Cuenca o Litoral;Estrato menor;Estrato;Sitio desembarco;Tipo de unidad;Mes;Epoca;Cuartil_inf;Cuartil_sup
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;1;Meses Epoca Media;139.2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;2;Meses Epoca Baja;98.6;8000
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;3;Meses Epoca Baja;98.6;8000
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;4;Meses Epoca Baja;98.6;8000
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;5;Meses Epoca Media;139.2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;6;Meses Epoca Media;139.2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;7;Meses Epoca Media;139.2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;8;Meses Epoca Alta;149.4;10026.15
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;9;Meses Epoca Alta;149.4;10026.15
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;10;Meses Epoca Alta;149.4;10026.15
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;11;Meses Epoca Media;139.2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;Bodegas (Leticia);MA;12;Meses Epoca Media;139.2;6679
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;1;Meses Epoca Baja;15.5;188
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;2;Meses Epoca Baja;15.5;188
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;3;Meses Epoca Media;14.12;250
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;4;Meses Epoca Alta;16.8;319.5
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;5;Meses Epoca Alta;16.8;319.5
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;6;Meses Epoca Media;14.12;250
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;7;Meses Epoca Media;14.12;250
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;8;Meses Epoca Alta;16.8;319.5
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;9;Meses Epoca Alta;16.8;319.5
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;10;Meses Epoca Baja;15.5;188
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;11;Meses Epoca Baja;15.5;188
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);PM;12;Meses Epoca Baja;15.5;188
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;1;Meses Epoca Baja;5.48;67.555
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;2;Meses Epoca Media;12.075;100.27
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;3;Meses Epoca Media;12.075;100.27
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;4;Meses Epoca Media;12.075;100.27
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;5;Meses Epoca Media;12.075;100.27
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;6;Meses Epoca Baja;5.48;67.555
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;7;Meses Epoca Baja;5.48;67.555
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;8;Meses Epoca Alta;11.91;135.6
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;9;Meses Epoca Alta;11.91;135.6
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;10;Meses Epoca Media;12.075;100.27
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;11;Meses Epoca Media;12.075;100.27
Amazonía;Río Amazonas;Leticia - Puerto;Puerto Principal (Leticia);UEP;12;Meses Epoca Media;12.075;100.27
