Cuenca o Litoral.x;Estrato menor;Estrato;No del sitio de desembarco;Sitio desembarco.x;Tipo de unidad.x;Mes;Epoca;Sitio_TU_Mes;Sitio_TU_Epoca;Cuenca o Litoral;Sitio desembarco.y;Tipo de unidad.y;Cuartil_inf;Cuartil_sup
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;1;Meses Epoca Media;Bodegas (Leticia)_MA_1;Bodegas (Leticia)_MA_Meses Epoca Media;Amazonía;Bodegas (Leticia);MA;139,2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;2;Meses Epoca Baja;Bodegas (Leticia)_MA_2;Bodegas (Leticia)_MA_Meses Epoca Baja;Amazonía;Bodegas (Leticia);MA;98,6;8000
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;3;Meses Epoca Baja;Bodegas (Leticia)_MA_3;Bodegas (Leticia)_MA_Meses Epoca Baja;Amazonía;Bodegas (Leticia);MA;98,6;8000
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;4;Meses Epoca Baja;Bodegas (Leticia)_MA_4;Bodegas (Leticia)_MA_Meses Epoca Baja;Amazonía;Bodegas (Leticia);MA;98,6;8000
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;5;Meses Epoca Media;Bodegas (Leticia)_MA_5;Bodegas (Leticia)_MA_Meses Epoca Media;Amazonía;Bodegas (Leticia);MA;139,2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;6;Meses Epoca Media;Bodegas (Leticia)_MA_6;Bodegas (Leticia)_MA_Meses Epoca Media;Amazonía;Bodegas (Leticia);MA;139,2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;7;Meses Epoca Media;Bodegas (Leticia)_MA_7;Bodegas (Leticia)_MA_Meses Epoca Media;Amazonía;Bodegas (Leticia);MA;139,2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;8;Meses Epoca Alta;Bodegas (Leticia)_MA_8;Bodegas (Leticia)_MA_Meses Epoca Alta;Amazonía;Bodegas (Leticia);MA;149,4;10026,15
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;9;Meses Epoca Alta;Bodegas (Leticia)_MA_9;Bodegas (Leticia)_MA_Meses Epoca Alta;Amazonía;Bodegas (Leticia);MA;149,4;10026,15
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;10;Meses Epoca Alta;Bodegas (Leticia)_MA_10;Bodegas (Leticia)_MA_Meses Epoca Alta;Amazonía;Bodegas (Leticia);MA;149,4;10026,15
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;11;Meses Epoca Media;Bodegas (Leticia)_MA_11;Bodegas (Leticia)_MA_Meses Epoca Media;Amazonía;Bodegas (Leticia);MA;139,2;6679
Amazonía;Río Amazonas;Leticia - Bodegas;15;Bodegas (Leticia);MA;12;Meses Epoca Media;Bodegas (Leticia)_MA_12;Bodegas (Leticia)_MA_Meses Epoca Media;Amazonía;Bodegas (Leticia);MA;139,2;6679
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;1;Meses Epoca Baja;Puerto Principal (Leticia)_PM_1;Puerto Principal (Leticia)_PM_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);PM;15,5;188
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;2;Meses Epoca Baja;Puerto Principal (Leticia)_PM_2;Puerto Principal (Leticia)_PM_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);PM;15,5;188
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;3;Meses Epoca Media;Puerto Principal (Leticia)_PM_3;Puerto Principal (Leticia)_PM_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);PM;14,12;250
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;4;Meses Epoca Alta;Puerto Principal (Leticia)_PM_4;Puerto Principal (Leticia)_PM_Meses Epoca Alta;Amazonía;Puerto Principal (Leticia);PM;16,8;319,5
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;5;Meses Epoca Alta;Puerto Principal (Leticia)_PM_5;Puerto Principal (Leticia)_PM_Meses Epoca Alta;Amazonía;Puerto Principal (Leticia);PM;16,8;319,5
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;6;Meses Epoca Media;Puerto Principal (Leticia)_PM_6;Puerto Principal (Leticia)_PM_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);PM;14,12;250
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;7;Meses Epoca Media;Puerto Principal (Leticia)_PM_7;Puerto Principal (Leticia)_PM_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);PM;14,12;250
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;8;Meses Epoca Alta;Puerto Principal (Leticia)_PM_8;Puerto Principal (Leticia)_PM_Meses Epoca Alta;Amazonía;Puerto Principal (Leticia);PM;16,8;319,5
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;9;Meses Epoca Alta;Puerto Principal (Leticia)_PM_9;Puerto Principal (Leticia)_PM_Meses Epoca Alta;Amazonía;Puerto Principal (Leticia);PM;16,8;319,5
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;10;Meses Epoca Baja;Puerto Principal (Leticia)_PM_10;Puerto Principal (Leticia)_PM_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);PM;15,5;188
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;11;Meses Epoca Baja;Puerto Principal (Leticia)_PM_11;Puerto Principal (Leticia)_PM_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);PM;15,5;188
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);PM;12;Meses Epoca Baja;Puerto Principal (Leticia)_PM_12;Puerto Principal (Leticia)_PM_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);PM;15,5;188
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;1;Meses Epoca Baja;Puerto Principal (Leticia)_UEP_1;Puerto Principal (Leticia)_UEP_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);UEP;5,48;67,55
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;2;Meses Epoca Media;Puerto Principal (Leticia)_UEP_2;Puerto Principal (Leticia)_UEP_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);UEP;12,08;100,27
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;3;Meses Epoca Media;Puerto Principal (Leticia)_UEP_3;Puerto Principal (Leticia)_UEP_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);UEP;12,08;100,27
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;4;Meses Epoca Media;Puerto Principal (Leticia)_UEP_4;Puerto Principal (Leticia)_UEP_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);UEP;12,08;100,27
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;5;Meses Epoca Media;Puerto Principal (Leticia)_UEP_5;Puerto Principal (Leticia)_UEP_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);UEP;12,08;100,27
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;6;Meses Epoca Baja;Puerto Principal (Leticia)_UEP_6;Puerto Principal (Leticia)_UEP_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);UEP;5,48;67,55
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;7;Meses Epoca Baja;Puerto Principal (Leticia)_UEP_7;Puerto Principal (Leticia)_UEP_Meses Epoca Baja;Amazonía;Puerto Principal (Leticia);UEP;5,48;67,55
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;8;Meses Epoca Alta;Puerto Principal (Leticia)_UEP_8;Puerto Principal (Leticia)_UEP_Meses Epoca Alta;Amazonía;Puerto Principal (Leticia);UEP;11,91;135,6
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;9;Meses Epoca Alta;Puerto Principal (Leticia)_UEP_9;Puerto Principal (Leticia)_UEP_Meses Epoca Alta;Amazonía;Puerto Principal (Leticia);UEP;11,91;135,6
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;10;Meses Epoca Media;Puerto Principal (Leticia)_UEP_10;Puerto Principal (Leticia)_UEP_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);UEP;12,08;100,27
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;11;Meses Epoca Media;Puerto Principal (Leticia)_UEP_11;Puerto Principal (Leticia)_UEP_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);UEP;12,08;100,27
Amazonía;Río Amazonas;Leticia - Puerto;14;Puerto Principal (Leticia);UEP;12;Meses Epoca Media;Puerto Principal (Leticia)_UEP_12;Puerto Principal (Leticia)_UEP_Meses Epoca Media;Amazonía;Puerto Principal (Leticia);UEP;12,08;100,27
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;1;Meses Epoca Alta;Curillo_MA_1;Curillo_MA_Meses Epoca Alta;Amazonía;Curillo;MA;5,29;93,67
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;2;Meses Epoca Media;Curillo_MA_2;Curillo_MA_Meses Epoca Media;Amazonía;Curillo;MA;3,51;65,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;3;Meses Epoca Alta;Curillo_MA_3;Curillo_MA_Meses Epoca Alta;Amazonía;Curillo;MA;5,29;93,67
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;4;Meses Epoca Alta;Curillo_MA_4;Curillo_MA_Meses Epoca Alta;Amazonía;Curillo;MA;5,29;93,67
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;5;Meses Epoca Media;Curillo_MA_5;Curillo_MA_Meses Epoca Media;Amazonía;Curillo;MA;3,51;65,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;6;Meses Epoca Baja;Curillo_MA_6;Curillo_MA_Meses Epoca Baja;Amazonía;Curillo;MA;2,5;42,3
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;7;Meses Epoca Baja;Curillo_MA_7;Curillo_MA_Meses Epoca Baja;Amazonía;Curillo;MA;2,5;42,3
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;8;Meses Epoca Media;Curillo_MA_8;Curillo_MA_Meses Epoca Media;Amazonía;Curillo;MA;3,51;65,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;9;Meses Epoca Media;Curillo_MA_9;Curillo_MA_Meses Epoca Media;Amazonía;Curillo;MA;3,51;65,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;10;Meses Epoca Media;Curillo_MA_10;Curillo_MA_Meses Epoca Media;Amazonía;Curillo;MA;3,51;65,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;1;Curillo;MA;11;Meses Epoca Media;Curillo_MA_11;Curillo_MA_Meses Epoca Media;Amazonía;Curillo;MA;3,51;65,23
