Cuenca o Litoral;Grupo de especie;Formato;Especie;Nombre más común de la especie;Categoría comercial;Total
Amazonía;Peces;PezOseo;Acestrorhynchus microlepis;Agujeta;Mediano;26
Amazonía;Peces;PezOseo;Acestrorhynchus microlepis;Agujeta;Revuelto;15
Amazonía;Peces;PezOseo;Aequidens diadema;Mojarra fina;Pequeño;1
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Grande;6
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Mediano;132
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Pequeño;25
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Revuelto;519
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Varios tamaños;2
Amazonía;Peces;PezOseo;Ageneiosus vittatus;Gata;Pequeño;2
Amazonía;Peces;PezOseo;Ageneiosus vittatus;Gata;Revuelto;2
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Grande;5
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Mediano;38
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Pequeño;2
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Revuelto;157
Amazonía;Peces;PezOseo;Anodus elongatus;Sardina de punto;Pequeño;1
Amazonía;Peces;PezOseo;Anodus elongatus;Sardina de punto;Revuelto;1
Amazonía;Peces;PezOseo;Apteronotus albifrons;Cuchillo caballo;Mediano;1
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Grande;217
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Mediano;14
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Pequeño;8
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Revuelto;422
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Varios tamaños;65
Amazonía;Peces;PezOseo;Argonectes longiceps;Blanquillo;Mediano;1
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Grande;35
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Mediano;18
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Pequeño;8
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Revuelto;106
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Varios tamaños;59
Amazonía;Peces;PezOseo;Astyanax maximus;Sardina;Pequeño;1
Amazonía;Peces;PezOseo;Boulengerella lucius;Agujo;Revuelto;3
Amazonía;Peces;PezOseo;Brachyplatystoma capapretum;Valentón;Grande;3
Amazonía;Peces;PezOseo;Brachyplatystoma capapretum;Valentón;Mediano;42
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Grande;171
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Mediano;21
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Pequeño;5
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Revuelto;559
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Varios tamaños;1
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Grande;30
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Mediano;20
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Pequeño;11
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Revuelto;677
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Varios tamaños;1
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Grande;41
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Mediano;51
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Pequeño;29
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Revuelto;1530
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Varios tamaños;5
Amazonía;Peces;PezOseo;Brachyplatystoma rousseauxii;Doradoplateado;Grande;194
Amazonía;Peces;PezOseo;Brachyplatystoma rousseauxii;Doradoplateado;Mediano;16
Amazonía;Peces;PezOseo;Brachyplatystoma rousseauxii;Doradoplateado;Pequeño;7
Amazonía;Peces;PezOseo;Brachyplatystoma rousseauxii;Doradoplateado;Revuelto;620
Amazonía;Peces;PezOseo;Brachyplatystoma rousseauxii;Doradoplateado;Varios tamaños;23
Amazonía;Peces;PezOseo;Brachyplatystoma tigrinum;Zebra bocón pintado;Grande;19
Amazonía;Peces;PezOseo;Brachyplatystoma tigrinum;Zebra bocón pintado;Mediano;11
Amazonía;Peces;PezOseo;Brachyplatystoma tigrinum;Zebra bocón pintado;Pequeño;4
Amazonía;Peces;PezOseo;Brachyplatystoma tigrinum;Zebra bocón pintado;Revuelto;151
Amazonía;Peces;PezOseo;Brachyplatystoma tigrinum;Zebra bocón pintado;Varios tamaños;1
Amazonía;Peces;PezOseo;Brachyplatystoma vaillantii;Pirabutón;Grande;25
Amazonía;Peces;PezOseo;Brachyplatystoma vaillantii;Pirabutón;Mediano;75
Amazonía;Peces;PezOseo;Brachyplatystoma vaillantii;Pirabutón;Pequeño;50
Amazonía;Peces;PezOseo;Brachyplatystoma vaillantii;Pirabutón;Revuelto;388
Amazonía;Peces;PezOseo;Brachyplatystoma vaillantii;Pirabutón;Varios tamaños;10
Amazonía;Peces;PezOseo;Brycon amazonicus;Sábalo;Grande;8
Amazonía;Peces;PezOseo;Brycon amazonicus;Sábalo;Mediano;6
Amazonía;Peces;PezOseo;Brycon amazonicus;Sábalo;Pequeño;81
Amazonía;Peces;PezOseo;Brycon amazonicus;Sábalo;Revuelto;377
Amazonía;Peces;PezOseo;Brycon amazonicus;Sábalo;Varios tamaños;19
Amazonía;Peces;PezOseo;Brycon falcatus;Cana;Grande;1
Amazonía;Peces;PezOseo;Brycon falcatus;Cana;Mediano;1
Amazonía;Peces;PezOseo;Brycon falcatus;Cana;Pequeño;13
Amazonía;Peces;PezOseo;Brycon falcatus;Cana;Revuelto;57
Amazonía;Peces;PezOseo;Brycon hilarii;Sábalo;Extragrande;2
Amazonía;Peces;PezOseo;Brycon hilarii;Sábalo;Grande;120
Amazonía;Peces;PezOseo;Brycon hilarii;Sábalo;Mediano;13
Amazonía;Peces;PezOseo;Brycon hilarii;Sábalo;Pequeño;22
Amazonía;Peces;PezOseo;Brycon hilarii;Sábalo;Pescado especial;9
Amazonía;Peces;PezOseo;Brycon hilarii;Sábalo;Revuelto;141
Amazonía;Peces;PezOseo;Brycon melanopterus;Sabaleta;Grande;1
Amazonía;Peces;PezOseo;Brycon melanopterus;Sabaleta;Mediano;3
Amazonía;Peces;PezOseo;Brycon melanopterus;Sabaleta;Pequeño;95
Amazonía;Peces;PezOseo;Brycon melanopterus;Sabaleta;Revuelto;378
Amazonía;Peces;PezOseo;Brycon melanopterus;Sabaleta;Varios tamaños;13
Amazonía;Peces;PezOseo;Brycon sp. 1;Singo;Revuelto;10
Amazonía;Peces;PezOseo;Calophysus macropterus;Simi mota juvenil;Grande;13
Amazonía;Peces;PezOseo;Calophysus macropterus;Simi mota juvenil;Mediano;13
Amazonía;Peces;PezOseo;Calophysus macropterus;Simi mota juvenil;Pequeño;29
Amazonía;Peces;PezOseo;Calophysus macropterus;Simi mota juvenil;Revuelto;529
Amazonía;Peces;PezOseo;Calophysus macropterus;Simi mota juvenil;Varios tamaños;1
Amazonía;Peces;PezOseo;Chaetobranchus semifasciatus;Mojarra;Grande;2
Amazonía;Peces;PezOseo;Chaetobranchus semifasciatus;Mojarra;Mediano;1
Amazonía;Peces;PezOseo;Chaetobranchus semifasciatus;Mojarra;Revuelto;13
Amazonía;Peces;PezOseo;Chaetobranchus semifasciatus;Mojarra;Varios tamaños;10
Amazonía;Peces;PezOseo;Chalceus erythrurus;Ararí de punto;Mediano;41
Amazonía;Peces;PezOseo;Chalceus erythrurus;Ararí de punto;Revuelto;17
Amazonía;Peces;PezOseo;Cichla monoculus;Tucunaré;Grande;16
Amazonía;Peces;PezOseo;Cichla monoculus;Tucunaré;Mediano;91
Amazonía;Peces;PezOseo;Cichla monoculus;Tucunaré;Pequeño;17
Amazonía;Peces;PezOseo;Cichla monoculus;Tucunaré;Revuelto;70
Amazonía;Peces;PezOseo;Cichla monoculus;Tucunaré;Varios tamaños;18
Amazonía;Peces;PezOseo;Cichla orinocensis;Tucunaré;Grande;2
Amazonía;Peces;PezOseo;Cichla orinocensis;Tucunaré;Pequeño;1
Amazonía;Peces;PezOseo;Cichla temensis;Tucunaré;Mediano;15
Amazonía;Peces;PezOseo;Colossoma macropomum;Cachama negra;Grande;165
Amazonía;Peces;PezOseo;Colossoma macropomum;Cachama negra;Mediano;19
Amazonía;Peces;PezOseo;Colossoma macropomum;Cachama negra;Pequeño;17
Amazonía;Peces;PezOseo;Colossoma macropomum;Cachama negra;Revuelto;226
Amazonía;Peces;PezOseo;Colossoma macropomum;Cachama negra;Varios tamaños;30
Amazonía;Peces;PezOseo;Crenicichla lenticulata;Botello bocon;Mediano;107
Amazonía;Peces;PezOseo;Crenicichla lenticulata;Botello bocon;Pequeño;1
Amazonía;Peces;PezOseo;Crenicichla lenticulata;Botello bocon;Revuelto;67
Amazonía;Peces;PezOseo;Crenicichla lugubris;Botello;Revuelto;1
Amazonía;Peces;PezOseo;Curimata aspera;Curimba;Pequeño;2
Amazonía;Peces;PezOseo;Curimata aspera;Curimba;Revuelto;1
Amazonía;Peces;PezOseo;Cynodon gibbus;Payarin;Revuelto;1
Amazonía;Peces;PezOseo;Cynopotamus amazonum;Cachana;Grande;2
Amazonía;Peces;PezOseo;Cynopotamus amazonum;Cachana;Pequeño;5
Amazonía;Peces;PezOseo;Doras phlyzakion;Cuyucuyu;Mediano;37
Amazonía;Peces;PezOseo;Doras phlyzakion;Cuyucuyu;Revuelto;33
Amazonía;Peces;PezOseo;Geophagus abalios;Juan viejo;Mediano;61
Amazonía;Peces;PezOseo;Geophagus abalios;Juan viejo;Revuelto;22
Amazonía;Peces;PezOseo;Hemisorubim platyrhynchos;Bagre dormilón;Grande;2
Amazonía;Peces;PezOseo;Hemisorubim platyrhynchos;Bagre dormilón;Mediano;17
Amazonía;Peces;PezOseo;Hemisorubim platyrhynchos;Bagre dormilón;Pequeño;7
Amazonía;Peces;PezOseo;Hemisorubim platyrhynchos;Bagre dormilón;Revuelto;98
Amazonía;Peces;PezOseo;Heros severus;Severum;Revuelto;3
Amazonía;Peces;PezOseo;Heros severus;Severum;Varios tamaños;2
Amazonía;Peces;PezOseo;Hoplarchus psittacus;Mojarra lora;Mediano;1
Amazonía;Peces;PezOseo;Hoplarchus psittacus;Mojarra lora;Revuelto;3
Amazonía;Peces;PezOseo;Hoplerythrinus unitaeniatus;Pejedulce shuyo;Grande;2
Amazonía;Peces;PezOseo;Hoplerythrinus unitaeniatus;Pejedulce shuyo;Mediano;15
