Cuenca o Litoral;Grupo de especie;Formato;Especie;Nombre más común de la especie;Forma de presentación;Cantidad de subregistros;Confirmación
Amazonía;Peces;PezOseo;Acestrorhynchus microlepis;Agujeta;Entero fresco;41;
Amazonía;Peces;PezOseo;Aequidens diadema;Mojarra fina;Entero;1;
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Entero enhielado;3;
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Entero fresco;97;
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Eviscerado;114;
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Eviscerado congelado;150;
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Eviscerado enhielado;86;
Amazonía;Peces;PezOseo;Ageneiosus inermis;Pavón chancleto;Eviscerado fresco;234;
Amazonía;Peces;PezOseo;Ageneiosus vittatus;Gata;Eviscerado enhielado;4;
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Entero;5;
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Entero fresco;5;
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Eviscerado;3;
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Eviscerado congelado;27;
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Eviscerado enhielado;50;
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Eviscerado fresco;111;
Amazonía;Peces;PezOseo;Aguarunichthys inpai;Simi manchado;Trozos;1;
Amazonía;Peces;PezOseo;Anodus elongatus;Sardina de punto;Entero fresco;1;
Amazonía;Peces;PezOseo;Anodus elongatus;Sardina de punto;Eviscerado fresco;1;
Amazonía;Peces;PezOseo;Apteronotus albifrons;Cuchillo caballo;Entero fresco;1;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Entero enhielado;1;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Entero fresco;21;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Eviscerado;50;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Eviscerado congelado;174;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Eviscerado enhielado;328;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Eviscerado fresco;50;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Salpreso;1;
Amazonía;Peces;PezOseo;Arapaima gigas;Pirarucú;Seco salado;101;
Amazonía;Peces;PezOseo;Argonectes longiceps;Blanquillo;Entero fresco;1;
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Entero;1;
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Entero enhielado;1;
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Entero fresco;105;
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Eviscerado;2;
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Eviscerado congelado;7;
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Eviscerado enhielado;109;
Amazonía;Peces;PezOseo;Astronotus ocellatus;Oscar;Eviscerado fresco;1;
Amazonía;Peces;PezOseo;Astyanax maximus;Sardina;Entero;1;
Amazonía;Peces;PezOseo;Boulengerella lucius;Agujo;Eviscerado;3;
Amazonía;Peces;PezOseo;Brachyplatystoma capapretum;Valentón;Descabezado;8;
Amazonía;Peces;PezOseo;Brachyplatystoma capapretum;Valentón;Entero fresco;20;
Amazonía;Peces;PezOseo;Brachyplatystoma capapretum;Valentón;Rodaja;17;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Descabezado congelado;1;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Entero;1;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Entero fresco;2;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Eviscerado;121;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Eviscerado con gónada;2;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Eviscerado congelado;126;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Eviscerado enhielado;117;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Eviscerado fresco;385;
Amazonía;Peces;PezOseo;Brachyplatystoma filamentosum;Valentón;Seco salado;2;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Entero;24;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Entero enhielado;1;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Entero fresco;14;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Eviscerado;13;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Eviscerado congelado;86;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Eviscerado enhielado;363;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Eviscerado fresco;236;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Rodaja;1;
Amazonía;Peces;PezOseo;Brachyplatystoma juruense;Jugador listrado;Seco salado;1;
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Entero;3;
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Entero congelado;1;
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Entero enhielado;1;
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Entero fresco;32;
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Eviscerado;61;
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Eviscerado congelado;378;
Amazonía;Peces;PezOseo;Brachyplatystoma platynemum;Baboso;Eviscerado enhielado;838;
