SITIODESEMBARCO_TIPOUNIDAD_ESPECIE;Cuartil_inf_PESOTOTAL_hist;Cuartil_sup_PESOTOTAL_hist;Cuartil_inf_NUMEROINDIVIDUO_hist;Cuartil_sup_NUMEROINDIVIDUO_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
La Grande_UEP_Prochilodus magdalenae;2,05;43,7;7;150;0,28;0,29
La Grande_UEP_Hoplias malabaricus;0,69;13,11;1;19;0,64;0,7
La Grande_UEP_Ageneiosus pardalis;0,27;6,47;1;10;0,18;0,79
La Grande_UEP_Caquetaia kraussii;0,21;5,06;1;21;0,21;0,24
Buenavista (La Dorada)_UEP_Brycon moorei;1;11,32;1;9;0,67;2,5
Paujil_IM_Curimata cerasina;2,45;63,1;17;410;0,08;0,43
Paujil_IM_Hydrolycus wallacei;2,48;36;5;60;0,27;1,05
Paujil_IM_Pseudoplatystoma orinocoense;2;69,05;1;40;0,57;7,33
Paujil_IM_Satanoperca daemon;5,5;88;23;452;0,15;0,33
Paujil_IM_Cichla orinocensis;4,5;70,33;4;200;0,17;2,73
Paujil_IM_Pygocentrus cariba;2,3;54,85;5;176;0,21;0,58
Paujil_IM_Hoplias curupira;4,6;96;8;204;0,31;0,84
Paujil_IM_Ageneiosus inermis;2,08;39,85;3;130;0,22;0,81
Paujil_IM_Cichla temensis;2,26;64,82;1;188;0,18;3,44
Paujil_IM_Semaprochilodus kneri;7,35;90;15;300;0,22;0,55
Paujil_IM_Hydrolycus armatus;2,3;64,5;1;50;0,49;6,1
Paujil_IM_Semaprochilodus laticeps;4,8;174,95;6;298;0,34;1,14
Paujil_IM_Phractocephalus hemioliopterus;1,92;27,7;1;26;0,5;13,12
Paujil_IM_Metynnis hypsauchen;1,59;30,05;22;479;0,06;0,13
Paujil_IM_Pterygoplichthys gibbiceps;3,81;38,92;9;116;0,27;0,7
Buenavista (La Dorada)_UEP_Pseudoplatystoma magdaleniatum;1,6;36,98;1;8;1,36;9,99
Puerto Principal (Puerto Lleras)_UEP_Pseudoplatystoma orinocoense;3,54;30,16;1;5;3,3;11,3
Puerto Principal (Puerto Lleras)_UEP_Ageneiosus inermis;1,1;3,84;2;6;0,51;0,9
Puerto Principal (Puerto Lleras)_MA_Brachyplatystoma vaillantii;2,01;4,64;2;4;0,94;1,19
Puerto Principal (Puerto Lleras)_MA_Hemisorubim platyrhynchos;1,33;1,78;1;4;0,48;1,25
