SITIODESEMBARCO_ESPECIE_CAT;Cuartil_inf_Precio_Esp_Cat_Hist;Cuartil_sup_Precio_Esp_Cat_Hist
Plaza de mercado (La Dorada)_Pimelodus yuma_Pequeño;3800;8625
Puerto de Gamarra_Megaleporinus muyscorum_Grande;4490;7000
Puerto de Gamarra_Sternopygus aequilabiatus_Revuelto;1600;4000
Puerto de Gamarra_Prochilodus magdalenae_Pequeño;1600;5370
Puerto de Gamarra_Prochilodus magdalenae_Grande;10000;20000
Puerto de Gamarra_Megaleporinus muyscorum_Pequeño;2000;4000
Puerto de Gamarra_Sorubim cuspicaudus_Revuelto;7100;14900
Puerto de Gamarra_Plagioscion magdalenae_Revuelto;5240;12000
Puerto de Gamarra_Pseudoplatystoma magdaleniatum_Pequeño;7850;13000
Puerto de Gamarra_Sorubim cuspicaudus_Grande;10000;16000
Puerto de Gamarra_Pseudoplatystoma magdaleniatum_Grande;10000;18000
Puerto de Gamarra_Plagioscion magdalenae_Grande;8600;14000
Puerto de Gamarra_Prochilodus magdalenae_Mediano;6000;9000
Puerto de Gamarra_Oreochromis niloticus_Grande;7780;9830
Puerto de Gamarra_Oreochromis niloticus_Pequeño;3840;6000
La Punta - Firme Cifuentes_Lutjanus guttatus_Platero (para pargos);23000;23000
La Punta - Firme Cifuentes_Scomberomorus sierra_Platero (para pargos);10000;10000
La Punta - Firme Cifuentes_Cynoscion phoxocephalus_Grande;14000;14000
La Punta - Firme Cifuentes_Scomberomorus sierra_Grande;8000;10000
La Punta - Firme Cifuentes_Callinectes toxotes_Revuelto;10000;10000
La Punta - Firme Cifuentes_Cynoscion albus_Grande;21000;22000
La Punta - Firme Cifuentes_Anadara tuberculosa_Varios tamaños;28000;28000
Puerto Barrio El Progreso_Pimelodus grosskopfii_Revuelto;3575;4850
Puerto Barrio El Progreso_Megaleporinus muyscorum_Revuelto;1000;2000
Puerto Barrio El Progreso_Pseudoplatystoma magdaleniatum_Revuelto;9000;16000
Puerto Barrio El Progreso_Prochilodus magdalenae_Revuelto;3500;9000
Puerto Barrio El Progreso_Sorubim cuspicaudus_Revuelto;8000;15000
Puerto Barrio El Progreso_Ageneiosus pardalis_Revuelto;9000;16000
Plaza de mercado (La Dorada)_Pimelodus grosskopfii_Revuelto;10000;20310
Plaza de mercado (La Dorada)_Prochilodus magdalenae_Pequeño;2000;6570
Plaza de mercado (La Dorada)_Sorubim cuspicaudus_Revuelto;11110;18000
Plaza de mercado (La Dorada)_Pseudoplatystoma magdaleniatum_Pequeño;14340;24000
Plaza de mercado (La Dorada)_Pimelodus yuma_Mediano;5260;12440
Plaza de mercado (La Dorada)_Prochilodus magdalenae_Revuelto;6000;20000
Plaza de mercado (La Dorada)_Pimelodus grosskopfii_Pequeño;4300;10000
Plaza de mercado (La Dorada)_Prochilodus magdalenae_Grande;11760;25040
Río San Miguel_Sorubim lima_Pequeño;14000;14000
Río San Miguel_Prochilodus rubrotaeniatus_Revuelto;12000;15250
Río San Miguel_Brycon falcatus_Revuelto;14000;15600
Río San Miguel_Salminus hilarii_Revuelto;14000;15000
Río San Miguel_Calophysus macropterus_Revuelto;11200;15700
Río San Miguel_Plagioscion squamosissimus_Revuelto;14000;14000
Cooperativas - Pueblo Nuevo_Hyporthodus acanthistius_Grande;12000;18000
Cooperativas - Pueblo Nuevo_Hyporthodus acanthistius_Pequeño;6000;9425
Cooperativas - Pueblo Nuevo_Brotula clarkae_Pequeño;9000;11000
Cooperativas - Pueblo Nuevo_Brotula clarkae_Grande;18000;24000
Cooperativas - Pueblo Nuevo_Lutjanus guttatus_Revuelto;18000;24000
Cooperativas - Pueblo Nuevo_Lutjanus guttatus_Platero (para pargos);27000;29000
Cooperativas - Pueblo Nuevo_Lutjanus guttatus_Pequeño;12000;14000
Cooperativas - Pueblo Nuevo_Scomberomorus sierra_Pequeño;6500;8000
Cooperativas - Pueblo Nuevo_Scomberomorus sierra_Mediano;12000;15000
Cooperativas - Pueblo Nuevo_Cyclopsetta querna_Grande;3500;4325
Cooperativas - Pueblo Nuevo_Bagre pinnimaculatus_Grande;7000;12000
