SITIODESEMBARCO_TIPOUNIDAD_ESPECIE;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
La Grande_UEP_Prochilodus magdalenae;0,285;0,293333333
La Grande_UEP_Hoplias malabaricus;0,64225;0,695871429
La Grande_UEP_Ageneiosus pardalis;0,1841;0,7905
La Grande_UEP_Caquetaia kraussii;0,21;0,245
Buenavista (La Dorada)_UEP_Brycon moorei;0,673958333;2,5
Paujil_IM_Curimata cerasina;0,083380952;0,426
Paujil_IM_Hydrolycus wallacei;0,27;1,049
Paujil_IM_Pseudoplatystoma orinocoense;0,565833333;7,333333333
Paujil_IM_Satanoperca daemon;0,146153846;0,331696429
Paujil_IM_Cichla orinocensis;0,17;2,7325
Paujil_IM_Pygocentrus cariba;0,214038462;0,575
Paujil_IM_Hoplias curupira;0,30625;0,841666667
Paujil_IM_Ageneiosus inermis;0,22;0,808333333
Paujil_IM_Cichla temensis;0,18;3,44
Paujil_IM_Semaprochilodus kneri;0,222;0,55
Paujil_IM_Hydrolycus armatus;0,486428571;6,1
Paujil_IM_Semaprochilodus laticeps;0,34;1,1425
Paujil_IM_Phractocephalus hemioliopterus;0,5;13,125
Paujil_IM_Metynnis hypsauchen;0,056;0,128772727
Paujil_IM_Pterygoplichthys gibbiceps;0,27;0,7045
Buenavista (La Dorada)_UEP_Pseudoplatystoma magdaleniatum;1,3575;9,991666667
Puerto Principal (Puerto Lleras)_UEP_Pseudoplatystoma orinocoense;3,3;11,3
Puerto Principal (Puerto Lleras)_UEP_Ageneiosus inermis;0,51;0,9
Puerto Principal (Puerto Lleras)_MA_Brachyplatystoma vaillantii;0,9425;1,1875
Puerto Principal (Puerto Lleras)_MA_Hemisorubim platyrhynchos;0,485;1,25
Puerto Principal (Puerto Lleras)_MA_Pseudoplatystoma orinocoense;3,783923077;11,1075
El Muelle (Barrancabermeja)_PM_Prochilodus magdalenae;0,123333333;0,405266667
Puerto de Gamarra_PM_Prochilodus magdalenae;0,130095109;0,532634409
Puerto de Gamarra_MA_Prochilodus magdalenae;0,115250447;0,555555556
Puerto de Gamarra_MA_Pimelodus yuma;0,062249452;0,10138814
Puerto de Gamarra_PM_Plagioscion magdalenae;0,5;2
Puerto de Gamarra_PM_Pseudoplatystoma magdaleniatum;0,96875;8,5
Puerto de Gamarra_PM_Megaleporinus muyscorum;0,164803922;0,343607955
Honda_PM_Brycon moorei;0,98;2,94
Honda_PM_Ichthyoelephas longirostris;0,7725;2,5
Honda_PM_Pimelodus grosskopfii;0,122580645;0,470142857
Honda_PM_Pseudoplatystoma magdaleniatum;2,414166667;11,5
Honda_MA_Pimelodus yuma;0,089090909;0,141116035
Honda_MA_Ichthyoelephas longirostris;0,808571429;2,38
Honda_MA_Brycon moorei;1,0975;2,85
Honda_MA_Pimelodus grosskopfii;0,122719941;0,437932692
Honda_PM_Pimelodus yuma;0,088474159;0,141463415
Honda_IM_Pimelodus grosskopfii;0,12173913;0,457380952
Honda_IM_Pimelodus yuma;0,088541667;0,140625
Puerto de Gamarra_IM_Prochilodus magdalenae;0,128123077;0,546954596
Buenavista (La Dorada)_UEP_Prochilodus magdalenae;0,138115942;0,529595588
Buenavista (La Dorada)_UEP_Pimelodus grosskopfii;0,189333333;0,62
Buenavista (La Dorada)_UEP_Sorubim cuspicaudus;0,666666667;1,464765319
Montaño_UEP_Prochilodus magdalenae;0,213;0,435
Montaño_UEP_Hoplias malabaricus;0,4195;0,67525
Buenavista (La Dorada)_UEP_Ichthyoelephas longirostris;0,393303571;1,22125
Honda_PM_Salminus affinis;0,827321429;2,5
Honda_IM_Sorubim cuspicaudus;0,8;2,426666667
Honda_PM_Prochilodus magdalenae;0,124390244;0,164867647
La Grande_UEP_Sternopygus aequilabiatus;0,59;0,763416667
La Tagua_UEP_Zungaro zungaro;3,825;19,25
La Tagua_UEP_Hydrolycus armatus;0,6;6
La Tagua_UEP_Pseudoplatystoma tigrinum;2,578571429;11,695
La Tagua_UEP_Pseudoplatystoma punctifer;1,3;6,5
Plaza de mercado (La Dorada)_IM_Pimelodus grosskopfii;0,083333333;0,308737931
Plaza de mercado (La Dorada)_IM_Pseudoplatystoma magdaleniatum;1,625;9,67825
Plaza de mercado (La Dorada)_IM_Sorubim cuspicaudus;0,5;1,5405
Plaza de mercado (La Dorada)_IM_Prochilodus magdalenae;0,115384615;0,386702083
Plaza de mercado (La Dorada)_IM_Brycon moorei;1;3,075
Plaza de mercado (La Dorada)_UTA_Pimelodus grosskopfii;0,072222222;0,3292
Plaza de mercado (La Dorada)_UTA_Sorubim cuspicaudus;0,564416667;1,568166667
Plaza de mercado (La Dorada)_UTA_Pseudoplatystoma magdaleniatum;1,665166667;9
Plaza de mercado (La Dorada)_UEP_Pimelodus grosskopfii;0,083333333;0,311666667
Plaza de mercado (La Dorada)_UEP_Pseudopimelodus magnus;1;4,3875
Plaza de mercado (La Dorada)_UEP_Pseudopimelodus atricaudus;0,220888889;0,5265
Plaza de mercado (La Dorada)_UEP_Sternopygus aequilabiatus;0,76125;1,95
Plaza de mercado (La Dorada)_UEP_Pseudoplatystoma magdaleniatum;1,64425;9,4945
Curvaradó_UEP_Prochilodus magdalenae;0,25245;0,413942857
Curvaradó_UEP_Hoplias malabaricus;0,3825;0,640686275
Curvaradó_UEP_Caquetaia kraussii;0,140333333;0,236125
Curvaradó_UEP_Ageneiosus pardalis;0,2138625;0,70735
Plaza de mercado (La Dorada)_UTA_Megaleporinus muyscorum;0,12;0,275
Soledad Pueblito_MA_Cynoscion phoxocephalus;0,666666667;1,202784653
Río San Miguel_UEP_Pseudoplatystoma punctifer;1,94;11,156
Río San Miguel_UEP_Piaractus brachypomus;0,494;6,05
Río San Miguel_UEP_Brycon hilarii;0,5;1,4175
Río San Miguel_UEP_Hemisorubim platyrhynchos;0,434;0,986333333
Río San Miguel_UEP_Mylossoma albiscopum;0,146615207;0,309461111
Puerto del Pescado (San José Del Guaviare)_UEP_Brachyplatystoma rousseauxii;7,0325;18,525
Puerto del Pescado (San José Del Guaviare)_UEP_Phractocephalus hemioliopterus;8,4;8,4
Puerto de las Canoas (Puerto Berrío)_MA_Prochilodus magdalenae;0,116023001;0,362181409
Puerto de las Canoas (Puerto Berrío)_PM_Pseudoplatystoma magdaleniatum;2,015;7
Puerto Kenedy_PM_Prochilodus magdalenae;0,215227753;0,29
Plaza de mercado (La Dorada)_IM_Pseudopimelodus magnus;1;3,34
Plaza de mercado (La Dorada)_MA_Pimelodus grosskopfii;0,09;0,341666667
Plaza de mercado (La Dorada)_IM_Ichthyoelephas longirostris;0,491666667;1,55
Plaza de mercado (La Dorada)_UTA_Brycon moorei;0,93134127;3,1465
Plaza de mercado (La Dorada)_UEP_Prochilodus magdalenae;0,116071429;0,461458333
Plaza de mercado (La Dorada)_UEP_Isorineloricaria tenuicauda;0,223688889;0,459
Plaza de mercado (La Dorada)_UEP_Brycon moorei;0,908666667;3,007
Plaza de mercado (La Dorada)_UEP_Megaleporinus muyscorum;0,115418956;0,270341667
Plaza de mercado (La Dorada)_UEP_Sorubim cuspicaudus;0,5;1,596
Puerto de desembarco (Mitú)_UEP_Hoplias curupira;0,180366667;0,31098125
Puerto de desembarco (Mitú)_UEP_Crenicichla lenticulata;0,2;0,448516667
Puerto de desembarco (Mitú)_UEP_Geophagus abalios;0,196693706;0,438202564
Puerto de desembarco (Mitú)_UEP_Leporinus agassizii;0,226557937;0,415801339
Puerto de desembarco (Mitú)_UEP_Hydrolycus wallacei;0,253519048;1,693425
Puerto de desembarco (Mitú)_UEP_Cichla monoculus;0,45120625;2,545425
Puerto de desembarco (Mitú)_UEP_Ageneiosus inermis;0,166666667;0,433396667
Puerto de desembarco (Mitú)_UEP_Pseudoplatystoma tigrinum;1,258166667;6,5845
La Tagua_UEP_Prochilodus nigricans;0,208888889;0,825714286
La Tagua_UEP_Plagioscion squamosissimus;1,08;4,3
